,index,#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",TotÂ Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
0,0,,World,4888124,88858.0,319965.0,3445.0,1905261.0,2662898.0,44764.0,627.0,41.0,,,
1,1,,Europe,1797528,16760.0,163619.0,780.0,781602.0,852307.0,11376.0,,,,,
2,2,,North America,1711000,26742.0,104136.0,1217.0,445705.0,1161159.0,18026.0,,,,,
3,4,,Asia,818935,20627.0,25111.0,377.0,471876.0,321948.0,4583.0,,,,,
4,5,,South America,461197,21015.0,24115.0,998.0,162622.0,274460.0,10478.0,,,,,
5,17,,Africa,90080,3699.0,2849.0,72.0,34879.0,52352.0,285.0,,,,,
6,53,,Oceania,8663,15.0,120.0,1.0,7926.0,617.0,12.0,,,,,
7,122,,,721,,15.0,,651.0,55.0,4.0,,,,,
8,223,,Total:,818935,20627.0,25111.0,377.0,471876.0,321948.0,4583.0,,,,,
9,224,,Total:,1711000,26742.0,104136.0,1217.0,445705.0,1161159.0,18026.0,,,,,
10,225,,Total:,1797528,16760.0,163619.0,780.0,781602.0,852307.0,11376.0,,,,,
11,226,,Total:,461197,21015.0,24115.0,998.0,162622.0,274460.0,10478.0,,,,,
12,227,,Total:,90080,3699.0,2849.0,72.0,34879.0,52352.0,285.0,,,,,
13,228,,Total:,8663,15.0,120.0,1.0,7926.0,617.0,12.0,,,,,
14,229,,Total:,721,,15.0,,651.0,55.0,4.0,,,,,
15,230,,Total:,4888124,88858.0,319965.0,3445.0,1905261.0,2662898.0,44764.0,627.0,41.0,,,
